month,income
2023-01,1000000
2023-02,1050000
2023-03,1100000
2023-04,1150000
2023-05,1200000
2023-06,1250000
2023-07,1300000
2023-08,1350000
2023-09,1400000
2023-10,1450000
2023-11,1500000
2023-12,1550000
2024-01,1600000
2024-02,1650000
2024-03,1700000
2024-04,1750000
2024-05,1800000
2024-06,1850000
2024-07,1900000
2024-08,1950000
2024-09,2000000
2024-10,2050000
2024-11,2100000
2024-12,2150000
2025-01,2200000
2025-02,2250000
2025-03,2300000
2025-04,2350000
2025-05,2400000
2025-06,2450000
2025-07,2500000
2025-08,2550000
